asin,price_mean,price_max,price_min,bsr_mean,bsr_max,bsr_min,score_mean,score_max,score_min,url,upload_date
B089LCL2M8,18.99,18.99,18.99,48643.375,95008,25487,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LCL2M8.jpg,2020-06-02
B089LGY8ZV,19.95,19.95,19.95,49642.6,91706,18223,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LGY8ZV.jpg,2020-06-02
B089LGYSVZ,18.99,18.99,18.99,50152.333333333336,73038,22447,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LGYSVZ.jpg,2020-06-02
B089MLZBXW,19.99,19.99,19.99,50767.77777777778,77256,25506,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089MLZBXW.jpg,2020-06-03
B086D9RL8Q,17.99,17.99,17.99,51340.444444444445,101399,17547,3.7777777777777777,5.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B086D9RL8Q.jpg,2020-03-25
B085WTV2HJ,16.49,16.49,16.49,54256.8,81123,18945,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085WTV2HJ.jpg,2020-03-13
B089NCFBYX,19.99,19.99,19.99,55807.66666666667,84647,33912,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089NCFBYX.jpg,2020-06-03
B0868BG1TT,17.95,17.95,17.95,55943.5,96089,32426,1.8749999999999998,5.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0868BG1TT.jpg,2020-03-22
B089LD1YC8,17.49,19.99,16.99,56045.0,148300,25484,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LD1YC8.jpg,2020-06-02
B089LH3NTV,16.99,16.99,16.99,56071.833333333336,89349,25451,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LH3NTV.jpg,2020-06-03
B089LNZXYL,15.49,15.49,15.49,57047.42857142857,84802,27249,4.285714285714286,5.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LNZXYL.jpg,2020-06-02
B085R4FYD7,19.99,19.99,19.99,57224.0,65486,37643,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085R4FYD7.jpg,2020-03-10
B08675YSB6,18.49,18.49,18.49,57975.875,114561,36624,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B08675YSB6.jpg,2020-03-21
B085V7ZJYQ,15.95,15.95,15.95,58527.0,95883,20579,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085V7ZJYQ.jpg,2020-03-12
B085V6R4LW,16.99,16.99,16.99,58692.0,89488,28578,3.0,5.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085V6R4LW.jpg,2020-03-12
B0861Z3H7Z,21.99,21.99,21.99,59167.87499999999,120064,23739,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0861Z3H7Z.jpg,2020-03-17
B0869CV5N4,19.9,19.9,19.9,59992.625,104861,30309,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0869CV5N4.jpg,2020-03-23
B089LCWBQK,18.28333333333333,19.95,17.95,61264.16666666667,125317,24550,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089LCWBQK.jpg,2020-06-02
B089MSTYFM,18.95,18.95,18.95,61356.16666666667,100339,42387,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089MSTYFM.jpg,2020-06-03
B086BYTLYJ,18.263333333333332,18.9,16.99,62196.555555555555,105901,18990,3.111111111111111,3.5,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B086BYTLYJ.jpg,2020-03-24
B089S5K664,17.99,17.99,17.99,62550.0,129718,19779,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089S5K664.jpg,2020-06-06
B086CHKHSL,17.49,17.49,17.49,62721.666666666664,94864,30399,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B086CHKHSL.jpg,2020-03-25
B085SQ99D6,17.95,17.95,17.95,64182.5,89602,31205,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B085SQ99D6.jpg,2020-03-11
B0862FFMSP,18.21222222222222,18.99,17.99,66783.88888888889,115577,33272,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B0862FFMSP.jpg,2020-03-18
B089MS8QVR,16.51,16.51,16.51,67416.66666666667,115265,25302,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089MS8QVR.jpg,2020-06-03
B089RHJFNS,19.99,19.99,19.99,68624.33333333334,109268,23637,0.0,0.0,0.0,https://storage.cloud.google.com/5c0ae2727a254b608a4ee55a15a05fb7/mba-shirts/de/B089RHJFNS.jpg,2020-06-06
